title,price,author,date
The Origin of Species,$13.99,Charles Darwin,2022-10-08
Quantum Physics For Beginners: The Simple Guide to Discovering How Theories of Quantum Physics Can Change Your Everyday Life. The Secrets of New Scientific Knowledge Made Uncomplicated and Practical,$13.95,Jeremy Wooster,2022-10-08
"5000 Amazing Facts For Kids: Learning Facts on Everything From Animals, History, Dinosaurs, Science, Music, & Much More",$15.12,none,2022-10-08
Fundamentals of Drug Development,$105.95,none,2022-10-08
The Fascinating Science Book for Kids: 500 Amazing Facts! (Fascinating Facts),$10.99,Kindle,2022-10-08
Starry Messenger: Cosmic Perspectives on Civilization,$18.04,Neil deGrasse Tyson,2022-10-08
The Science Book: Everything You Need to Know About the World and How It Works,$23.85,National Geographic,2022-10-08
Everything You Need to Ace Science in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),$10.34,Kindle,2022-10-08
The Berenstain Bears' Big Book of Science and Nature (Dover Children's Science Books),$7.49,Stan Berenstain,2022-10-08
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,$13.30,Kindle,2022-10-08
Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work (Awesome STEAM Activities for Kids),$8.99,Kindle,2022-10-08
The Science Book: Big Ideas Simply Explained,none,Audible Audiobook,2022-10-08
Knowledge Encyclopedia Science!,$16.99,Kindle,2022-10-08
Behave: The Biology of Humans at Our Best and Worst,$13.99,Robert M. Sapolsky,2022-10-08
Steve Spangler's Super-Cool Science Experiments for Kids: 50 mind-blowing STEM projects you can do at home (Steve Spangler Science Experiments for Kids),$7.49,Steve Spangler,2022-10-08
The God Equation: The Quest for a Theory of Everything,$0.00,Hardcover,2022-10-08
Chemistry Made Easy: An Illustrated Study Guide For Students To Easily Learn Chemistry,$16.02,NEDU,2022-10-08
Quantum Physics for Beginners: An Easy and Complete Physics Book of Its Most Important Theories. Discover the Secrets of Quantum Mechanics from String Theory to Quantum Computing,$13.85,Susanne Dam Nygaard,2022-10-08
"Active Biological Evolution: Feedback-Driven, Actively Accelerated Organismal and Cancer Evolution",$35.81,Frank H Laukien,2022-10-08
Applications of Metal-Organic Frameworks and Their Derived Materials,$195.68,none,2022-10-08
Gates of Hell: A Military Sci-Fi Series (Gates of Eternity Book 1),$0.00,Paperback,2022-10-08
Britannica All New Kids' Encyclopedia: What We Know & What We Don't,$19.99,Christopher Lloyd,2022-10-08
The Big Dark Sky,$0.00,Kindle,2022-10-08
"The Biggest Ideas in the Universe: Space, Time, and Motion",$19.99,Audible Audiobook,2022-10-08
"National Geographic Kids Why?: Over 1,111 Answers to Everything",$12.98,Crispin Boyer,2022-10-08
The Book of Strange but True Science,$9.99,Publications International Ltd.,2022-10-08
Breath: The New Science of a Lost Art,$0.00,Hardcover,2022-10-08
Believing Is Seeing: A Physicist Explains How Science Shattered His Atheism and Revealed the Necessity of Faith,$15.69,Kindle,2022-10-08
Seeing Science: The Art of Making the Invisible Visible,$34.95,Jack Challoner,2022-10-08
Teacher Created Materials - Science Readers: Content and Literacy: Physical Science - 5 Book Set - Grade 3 - Guided Reading Level O - Q,$53.47,none,2022-10-08
Immune: A Journey into the Mysterious System That Keeps You Alive,$18.65,Philipp Dettmer,2022-10-08
"Mindreader: The New Science of Deciphering What People Really Think, What They Really Want, and Who They Really Are",$0.00,Hardcover,2022-10-08
The January 6 Report,$13.99,none,2022-10-08
Fundamentos para el tratamiento de aguas residuales I ― Tratamiento líquido,$139.00,Water Environment Federation,2022-10-08
When I'm an Astronaut: Dreaming is Believing: STEM (Inspirational Careers for Kids),$12.99,Samantha Pillay,2022-10-08
Weather,$25.89,Gregory J. Hakim,2022-10-08
The Science of Spice: Understand Flavor Connections and Revolutionize Your Cooking,$24.72,Dr. Stuart Farrimond,2022-10-08
The Order of Time,$0.00,Paperback,2022-10-08
Star Wars Year By Year New Edition,$32.99,Kristin Baver,2022-10-08
"Human Anatomy for Kids: A Junior Scientist's Guide to How We Move, Breathe, and Grow",$8.99,Kindle,2022-10-08
How the World Really Works: The Science Behind How We Got Here and Where We're Going,$0.00,Hardcover,2022-10-08
Platonic: How the Science of Attachment Can Help You Make—and Keep—Friends,$0.00,Hardcover,2022-10-08
Universe: The Definitive Visual Guide,$1.99,DK,2022-10-08
Micro Life: Miracles of the Miniature World Revealed,none,DK,2022-10-08
Everything You Need to Ace Biology in One Big Fat Notebook (Big Fat Notebooks),none,Kindle,2022-10-08
The Book of Why: The New Science of Cause and Effect,$0.00,Paperback,2022-10-08
The Forerunner: A Story of Pain and Perseverance in America,$23.84,Cori Bush,2022-10-08
"Weird But True World 2023: Incredible facts, awesome photos, and weird wonders―for THIS YEAR and beyond!",$15.24,none,2022-10-08
The Science Spell Book: 30 Enchanting Experiments for Kids,$13.99,Cara Florance,2022-10-08
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",$0.00,Paperback,2022-10-08
Why We Sleep: Unlocking the Power of Sleep and Dreams,$0.00,Paperback,2022-10-08
Natural History,none,DK,2022-10-08
Women in Science: 50 Fearless Pioneers Who Changed the World,$9.59,Kindle,2022-10-08
The Science of Interstellar,$18.19,Kip Thorne,2022-10-08
Biocentrism: How Life and Consciousness are the Keys to Understanding the True Nature of the Universe,$13.49,Robert Lanza,2022-10-08
Good Housekeeping Amazing Science: 83 Hands-on S.T.E.A.M Experiments for Curious Kids!,$17.45,Kindle,2022-10-08
Pete the Cat and the Supercool Science Fair,$4.71,Kindle,2022-10-08
Turtles All The Way Down: Vaccine Science and Myth,$21.53,Anonymous,2022-10-08
Animated Science: Rocks and Minerals,$8.79,Shiho Pate,2022-10-08
Human Body Activity Book for Kids: Hands-On Fun for Grades K-3,$7.19,Spiral-bound,2022-10-08
Applications of Metal-Organic Frameworks and Their Derived Materials,$195.68,none,2022-10-08
"5000 Amazing Facts For Kids: Learning Facts on Everything From Animals, History, Dinosaurs, Science, Music, & Much More",$15.12,none,2022-10-08
Chemistry Made Easy: An Illustrated Study Guide For Students To Easily Learn Chemistry,$16.02,none,2022-10-08
The January 6 Report,$13.99,none,2022-10-08
Quantum Physics For Beginners: The Simple Guide to Discovering How Theories of Quantum Physics Can Change Your Everyday Life. The Secrets of New Scientific Knowledge Made Uncomplicated and Practical,$0.00,none,2022-10-08
Astronomy Activity Book for Kids: 100+ Fun Ways to Learn About Space and Stargazing,$8.99,none,2022-10-08
The Big Book of Science Fiction,$21.99,none,2022-10-08
Territory Wars: The Complete Series: A Military Sci-Fi Box Set,$0.00,none,2022-10-08
Elsewhere,$7.99,none,2022-10-08
Bill Nye's Great Big World of Science,$15.69,none,2022-10-08
Humble Pi: When Math Goes Wrong in the Real World,$0.00,none,2022-10-08
